title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
In Bruges,2008,107,Comedy,7.9,"7,757,130.00",Martin McDonagh,Colin Farrell,111,"4,031,997,423.00","115,199,926.00","15,000,000.00",2/8/2008,2,Winter
Letters from Iwo Jima,2006,141,Action,7.9,"13,756,082.00",Clint Eastwood,Ken Watanabe,797,"651,583,116.00","93,083,302.00","13,000,000.00",12/20/2006,12,Winter
Life of Pi,2012,127,Adventure,7.9,"124,987,023.00",Ang Lee,Suraj Sharma,830,"619,310,368.00","309,655,184.00","120,000,000.00",11/21/2012,11,Fall
Fantastic Mr. Fox,2009,87,Animation,7.9,"21,002,919.00",Wes Anderson,George Clooney,75,"4,888,458,821.00","135,790,523.00","40,000,000.00",10/23/2009,10,Fall
Iron Man,2008,126,Action,7.9,"318,412,101.00",Jon Favreau,Robert Downey Jr.,3,"14,346,904,626.00","326,066,014.00","186,000,000.00",5/2/2008,5,Spring
Shaun of the Dead,2004,99,Comedy,7.9,"13,542,874.00",Edgar Wright,Simon Pegg,87,"4,502,402,667.00","173,169,333.00","5,000,000.00",9/24/2004,9,Fall
Mystic River,2003,138,Crime,7.9,"90,135,191.00",Clint Eastwood,Sean Penn,668,"843,561,090.00","44,397,952.00","30,000,000.00",10/8/2003,10,Fall
Harry Potter and the Prisoner of Azkaban,2004,142,Adventure,7.9,"249,358,727.00",Alfonso Cuarón,Daniel Radcliffe,24,"8,349,249,492.00","347,885,396.00","130,000,000.00",5/31/2004,5,Spring
The Bourne Identity,2002,119,Action,7.9,"121,661,683.00",Doug Liman,Franka Potente,1502,"238,051,063.00","79,350,354.00","60,000,000.00",6/14/2002,6,Summer
Children of Men,2006,109,Adventure,7.9,"35,552,383.00",Alfonso Cuarón,Julianne Moore,329,"1,699,534,614.00","39,524,061.00","76,000,000.00",12/25/2006,12,Winter
Almost Famous,2000,122,Adventure,7.9,"32,534,850.00",Cameron Crowe,Billy Crudup,1596,"209,525,433.00","19,047,767.00","60,000,000.00",9/15/2000,9,Fall
Boogie Nights,1997,155,Drama,7.9,"26,400,640.00",Paul Thomas Anderson,Mark Wahlberg,52,"6,039,098,406.00","128,491,455.00","15,000,000.00",10/10/1997,10,Fall
True Romance,1993,119,Crime,7.9,"12,281,500.00",Tony Scott,Christian Slater,1448,"256,399,689.00","13,494,720.00","12,500,000.00",9/10/1993,9,Fall
Edward Scissorhands,1990,105,Drama,7.9,"56,362,352.00",Tim Burton,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","20,000,000.00",12/7/1990,12,Winter
The Untouchables,1987,119,Crime,7.9,"76,270,454.00",Brian De Palma,Kevin Costner,144,"3,318,085,321.00","79,002,031.00","25,000,000.00",6/3/1987,6,Summer
